,funder_name,funder_round_type,funder_round_name,project_name_mapping,funding_usd
275,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Understanding Optimism Codebase,104348.265
276,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Otterscan,103252.5
277,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Kiwi News,99113.455
278,Optimism Foundation,Retroactive Funding Round,RetroPGF3,AyaHQ,99019.515
279,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Blockscout,97888.5
280,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Copin.io,97391.7
281,Optimism Foundation,Retroactive Funding Round,RetroPGF3,LXDAO,97391.7
282,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Mechanism Institute,95652.55
283,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Optimism Box,95652.55
284,Gitcoin Grants,Quadratic Funding Community Donations,GR12,The Tor Project,95341.47
285,Optimism Foundation,Retroactive Funding Round,RetroPGF2,EthernautDAO,95157.0
286,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Keccak hashing,94257.0
287,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Jolly Roger and Hardhat-deploy,93973.5
288,Optimism Foundation,Retroactive Funding Round,RetroPGF3,MetricsDAO,93482.13
289,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Infinitism (ERC-4337) - Account Abstraction,91999.5
290,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Commons Stack,90057.0
291,Gitcoin Grants,Quadratic Funding Community Donations,GR14,,87673.59
292,Optimism Foundation,Retroactive Funding Round,RetroPGF2,MerkleTreeJS,87390.0
293,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Pocket Network,87271.5
294,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Bankless Academy,87100.5
295,Optimism Foundation,Retroactive Funding Round,RetroPGF3,MultiBaas,86956.87
296,Optimism Foundation,Retroactive Funding Round,RetroPGF3,zenbit.eth,86956.87
297,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Inverter Network,86956.87
298,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Sweetman,86956.87
299,Optimism Foundation,Retroactive Funding Round,RetroPGF3,FOAM,86956.87
300,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Kromatika,86956.87
301,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Pheasant Network,86028.18
302,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Blockchain CLI,85252.51000000001
303,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Synapse,85252.51000000001
304,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Bankless Academy,85252.51000000001
305,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Infinity Wallet,85252.51000000001
306,Optimism Foundation,Retroactive Funding Round,RetroPGF2,OPdelegate.com ,84508.5
307,Gitcoin Grants,Quadratic Funding Matching Pool,GR14,Astral Protocol,84277.44
308,Optimism Foundation,Retroactive Funding Round,RetroPGF2,PoolTogether,81826.5
309,Gitcoin Grants,Quadratic Funding Matching Pool,GR15,ethers.js,81378.95
310,Gitcoin Grants,Quadratic Funding Matching Pool,GR12,ZigZag Exchange,81239.59
311,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Bankless DAO,81075.12
312,Gitcoin Grants,Quadratic Funding Matching Pool,GR14,ethers.js,80670.12
313,Gitcoin Grants,Quadratic Funding Matching Pool,GR13,Shamba DMRV and Ecological Data Oracle.,79499.79
314,Optimism Foundation,Retroactive Funding Round,RetroPGF2,0xSplits,78231.0
315,Optimism Foundation,Retroactive Funding Round,RetroPGF3,HypeshotHQ,77409.01000000001
316,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Opti.domains,77409.01000000001
317,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Game7 DAO,77409.01000000001
318,Optimism Foundation,Retroactive Funding Round,RetroPGF2,,76501.5
319,Gitcoin Grants,Quadratic Funding Matching Pool,GR14,Lighthouse by Sigma Prime,75000.0
320,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Chainlist,74970.0
321,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Bankless Card,74800.32
